
2025/05/13 (19:49:09) | ===> btop++ v.1.3.0
2025/05/13 (19:49:09) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (01:00:08) | ===> btop++ v.1.3.0
2025/08/19 (01:00:08) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (19:17:30) | ===> btop++ v.1.3.0
2025/08/19 (19:17:30) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (19:47:17) | ===> btop++ v.1.3.0
2025/08/19 (19:47:17) | WARNING: Failed to join _runner thread on exit!

2025/09/06 (17:21:58) | ===> btop++ v.1.3.0
2025/09/06 (17:21:58) | WARNING: Failed to join _runner thread on exit!

2025/09/06 (17:41:09) | ===> btop++ v.1.3.0
2025/09/06 (17:41:09) | WARNING: Failed to join _runner thread on exit!

2025/09/06 (17:41:48) | ===> btop++ v.1.3.0
2025/09/06 (17:41:48) | WARNING: Failed to join _runner thread on exit!

2025/09/09 (13:26:32) | ===> btop++ v.1.3.0
2025/09/09 (13:26:32) | WARNING: Failed to join _runner thread on exit!

2025/09/09 (13:26:55) | ===> btop++ v.1.3.0
2025/09/09 (13:26:55) | WARNING: Failed to join _runner thread on exit!
